date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:56	14634/14634	---M-Z	200	added ('OK')	application/x-javascript	etag:afc75162378b2ea6d589332cfae1c323	http://somnus.mediumra.re/js/scripts.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/js/scripts.js	(from http://somnus.mediumra.re/index.html)
14:01:00	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:30:59%20GMT	http://somnus.mediumra.re/fonts/glyphicons-halflings-regular.eot?	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/glyphicons-halflings-regular.22d41d.delayed	(from http://somnus.mediumra.re/css/bootstrap.css)
14:01:00	93330/93330	---M--	200	added ('OK')	image/jpeg	etag:46c63bffa89859e6425f805b6af97daa	http://somnus.mediumra.re/img/large7.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/large7.jpg	(from http://somnus.mediumra.re/index.html)
14:01:00	129426/129426	---M--	200	added ('OK')	image/jpeg	etag:e8e3ecee56613bdffc895d932698916b	http://somnus.mediumra.re/img/large1.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/large1.jpg	(from http://somnus.mediumra.re/index.html)
14:01:02	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:02%20GMT	http://somnus.mediumra.re/fonts/glyphicons-halflings-regular.woff	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/glyphicons-halflings-regular.woff	(from http://somnus.mediumra.re/css/bootstrap.css)
14:01:03	143249/143249	---M--	200	added ('OK')	application/javascript	etag:%226465dd4a8331265e6629cd069e03504c%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from http://somnus.mediumra.re/index.html)
14:01:04	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:04%20GMT	http://somnus.mediumra.re/fonts/glyphicons-halflings-regular.ttf	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/glyphicons-halflings-regular.ttf	(from http://somnus.mediumra.re/css/bootstrap.css)
14:01:06	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:06%20GMT	http://somnus.mediumra.re/fonts/glyphicons-halflings-regular.svg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/glyphicons-halflings-regular.svg	(from http://somnus.mediumra.re/css/bootstrap.css)
14:01:06	16450/16450	---M-Z	200	added ('OK')	text/css	etag:22e134d4d9b3aac6ba47550cd1d06565	http://somnus.mediumra.re/css/themify-icons.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/themify-icons.css	(from http://somnus.mediumra.re/index.html)
14:01:07	280/280	---M--	200	added ('OK')	image/png	etag:d9d2d0b1308cb694aa8116915592e2a9	http://somnus.mediumra.re/img/lightbox/close.png	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/lightbox/close.png	(from http://somnus.mediumra.re/css/lightbox.min.css)
14:01:07	8476/8476	---M--	200	added ('OK')	image/gif	etag:2299ad0b3f63413f026dfec20c205b8f	http://somnus.mediumra.re/img/lightbox/loading.gif	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/lightbox/loading.gif	(from http://somnus.mediumra.re/css/lightbox.min.css)
14:01:08	1350/1350	---M--	200	added ('OK')	image/png	etag:31f15875975aab69085470aabbfec802	http://somnus.mediumra.re/img/lightbox/next.png	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/lightbox/next.png	(from http://somnus.mediumra.re/css/lightbox.min.css)
